element,link,executor,core,partition,sleeping_guard,sleeping_instantiate,sleeping_apply,total_time,time_tuples,time_instantiate,time_extract,time_broadcast,time_apply
#a7b12430aec91945a8ea9e90e43e5e4d63ea85ba 
150,220,2,2,4,250,250,250,230362.341243,199.132897,156964.020724,0.480604,31.12957,73167.577448
150,220,2,4,8,250,250,250,124719.34963699999,202.091783,85087.209299,0.499649,39.177745,39390.371161
150,220,2,1,2,1000,1000,1000,1629840.5882430002,203.263422,1069064.558687,0.714235,30.188264,560541.863635
150,220,2,4,8,1000,1000,1000,474550.17420799995,199.82196,318635.867534,0.55601,32.307799,155681.620905
150,220,2,1,2,120,120,120,222492.813903,200.034765,148284.415198,0.458292,33.038892,73974.866756
150,220,2,4,8,120,120,120,64251.86728399999,195.737464,44747.028424,0.644333,43.452396,19265.004667
150,220,1,1,1,120,120,120,393137.459794,204.335506,260933.319177,0.427573,29.157825,131970.219713
150,220,1,1,1,500,500,500,1564157.141715,201.092733,1029339.967485,0.436767,30.84784,534584.79689
150,220,2,2,4,1000,1000,1000,955395.769574,201.637684,664614.630109,0.588902,30.583964,290548.328915
150,220,2,4,8,250,250,250,132074.613297,215.75963,92387.491869,0.707219,37.595412,39433.059167
150,220,2,4,8,1000,1000,1000,468211.273896,205.753338,312321.228408,0.503836,37.929548,155645.858766
150,220,1,1,1,250,250,250,790004.405787,196.904849,522154.870814,0.411756,30.845025,267621.373343
150,220,2,1,2,120,120,120,211620.792173,213.765043,141229.417721,0.527819,35.220145,70141.861445
150,220,2,4,8,500,500,500,237111.433266,199.680706,158736.16814,0.635682,34.016189,78140.932549
150,220,2,2,4,120,120,120,112693.423305,190.314705,76411.278422,0.497416,28.548163,36062.784599
150,220,2,2,4,250,250,250,290648.05533,194.978304,217323.138771,0.461991,29.268365,73100.207899
150,220,2,4,8,1000,1000,1000,467940.01253099996,209.111854,311979.784561,0.512253,33.79107,155716.812793
150,220,1,1,1,1000,1000,1000,3126710.928608,208.769952,2057839.507531,0.593491,36.843635,1068625.213999
150,220,2,1,2,120,120,120,211759.84669599996,206.700702,141342.476947,0.638195,36.726538,70173.304314
150,220,2,4,8,120,120,120,64883.870354,202.201266,45927.401303,0.520423,35.558143,18718.189219
150,220,2,2,4,500,500,500,429288.416725,198.120568,283444.898203,0.55363,32.936216,145611.908108
150,220,2,2,4,120,120,120,115061.316727,200.190889,78183.432607,0.615097,49.983986,36627.094148
150,220,2,2,4,250,250,250,226501.184619,193.005869,153200.760744,0.489096,33.534059,73073.394851
150,220,2,1,2,120,120,120,211970.262338,199.076988,141583.048505,0.619569,36.47408,70151.043196
150,220,2,4,8,120,120,120,68895.795789,194.745916,49369.899107,0.456021,37.081087,19293.613658
150,220,1,1,1,120,120,120,392637.897441,195.558142,260415.452556,0.432315,30.520814,131995.933614
150,220,2,4,8,500,500,500,242464.554429,209.441397,164009.849905,0.65672,36.915556,78207.690851
150,220,2,2,4,120,120,120,114166.26494299999,210.881118,77239.741858,0.483935,33.260331,36681.897701
150,220,2,2,4,1000,1000,1000,855179.843761,199.712079,564294.876686,0.50815,33.06982,290651.677026
150,220,2,2,4,250,250,250,221176.31563100003,194.926482,147827.446812,0.501754,61.294698,73092.145885
150,220,2,4,8,250,250,250,125345.472526,199.258583,85699.760707,0.593029,39.0105,39406.849707
150,220,1,1,1,250,250,250,788029.6390180001,201.416822,520242.307824,0.491321,33.542422,267551.880629
150,220,2,1,2,120,120,120,210854.94782399997,194.232062,140489.038834,0.579772,32.412421,70138.684735
150,220,2,4,8,120,120,120,66093.13026399999,197.281559,47124.65408,0.458556,30.75863,18739.977439
150,220,1,1,1,120,120,120,390490.626779,203.536915,258270.722384,0.427924,27.9238,131988.015756
150,220,2,2,4,500,500,500,438908.982838,196.35517,293103.564539,0.533999,34.727231,145573.801899
150,220,2,2,4,120,120,120,202991.14762699997,202.150477,166143.990221,0.562217,49.117752,36595.32696
150,220,2,1,2,500,500,500,821653.2262849999,196.889315,541301.408433,0.489128,30.614276,280123.825133
150,220,2,4,8,1000,1000,1000,472087.221723,198.164209,316713.945799,0.54955,35.964134,155138.598031
150,220,2,1,2,120,120,120,215050.72211200002,200.719022,142603.282757,0.450836,28.467637,72217.80186
150,220,2,4,8,120,120,120,73637.315128,202.107256,54138.227637,0.499992,35.222051,19261.258192
150,220,2,2,4,500,500,500,444948.660958,198.487315,299075.821712,0.545193,34.921283,145638.885455
150,220,2,4,8,500,500,500,241595.558686,221.200166,163118.101296,0.598126,37.472242,78218.186856
150,220,2,2,4,120,120,120,112566.44379300001,203.129032,75708.401816,0.610123,38.205881,36616.096941
