element,link,executor,core,partition,sleeping_guard,sleeping_instantiate,sleeping_apply,total_time,time_tuples,time_instantiate,time_extract,time_broadcast,time_apply
#a7b12430aec91945a8ea9e90e43e5e4d63ea85ba 
150,220,2,2,16,1000,1000,1000,283733.126557,192.963594,207501.498871,0.502431,35.046151,76003.11551
150,220,2,2,16,250,250,250,95812.13930499999,203.454008,75905.61217,0.548839,59.062675,19643.461613
150,220,2,2,16,2000,2000,2000,495190.157472,196.795995,343907.006054,0.483192,36.059108,151049.813123
150,220,2,2,16,500,500,500,151399.683513,199.165639,112768.487151,0.726372,37.56186,38393.742491
150,220,2,1,8,250,250,250,144018.722462,201.724881,104406.134585,0.537244,34.737337,39375.588415
150,220,2,1,8,2000,2000,2000,938801.4247699999,193.757715,627833.021937,0.408986,30.171727,310744.064405
150,220,1,1,4,250,250,250,242591.912882,199.255649,169274.860083,0.482522,30.415308,73086.89932
150,220,1,1,4,500,500,500,444663.445085,202.243034,298803.316915,0.500078,33.964409,145623.420649
150,220,2,4,32,500,500,500,93287.685664,198.846157,72144.210623,0.430776,38.15698,20906.041128
150,220,1,1,4,2000,2000,2000,1894054.0288200001,199.288723,1313081.01241,0.53445,34.538471,580738.654766
150,220,2,4,32,2000,2000,2000,274497.552621,206.857141,193324.233992,0.593404,39.15553,80926.712554
150,220,2,4,32,1000,1000,1000,139925.70861,196.409105,98774.06751,0.570443,40.346476,40914.315076
150,220,2,4,32,250,250,250,53717.52974499999,202.325545,42312.243128,0.56462,43.263404,11159.133048
150,220,2,2,16,4000,4000,4000,999867.6796600001,205.052478,678929.602541,0.613341,39.368537,320693.042763
150,220,2,2,16,1000,1000,1000,252713.55283499998,199.328617,176490.525648,0.497636,39.104685,75984.096249
150,220,2,2,16,250,250,250,97989.60255299999,202.985701,78002.363854,0.492814,37.247065,19746.513119
150,220,2,1,8,250,250,250,141125.377297,196.880166,101562.837735,0.577522,39.516363,39325.565511
150,220,1,1,4,500,500,500,449279.71126699995,193.791286,303492.844562,0.533816,30.089361,145562.452242
150,220,2,4,32,500,500,500,81352.556015,197.615367,59871.553005,0.430856,33.592516,21249.364271
150,220,2,1,8,1000,1000,1000,614297.221938,199.953038,458360.364541,0.464873,34.064243,155702.375243
150,220,2,4,32,2000,2000,2000,283457.721112,199.885926,202151.713952,0.486061,34.606303,81071.02887
150,220,2,4,32,1000,1000,1000,144616.022473,199.044167,103231.059969,0.558114,45.01207,41140.348153
