pivot,element,link,executor,core,partition,sleeping_guard,sleeping_instantiate,sleeping_apply,total_time,time_tuples,time_instantiate,time_extract,time_broadcast,time_apply
# 3761bd285ca51e7866f7ca5f8261009a8465ac3d 
simple,150,220,2,2,16,0,0,0,13664.826984,225.357294,13229.696187,0.558076,56.132621,153.082806
complex,150,220,2,4,32,0,0,0,12255.408081,201.189317,11828.936462,0.527681,38.217682,186.536939
simple,150,220,1,1,4,0,0,0,25301.963002,225.743633,24437.471353,0.46552,35.358916,602.92358
simple,150,220,2,4,32,0,0,0,24502.185326,194.504212,23863.259424,0.667149,37.95796,405.796581
n2,150,220,1,1,4,0,0,0,16474.72283,209.205114,15828.183867,0.54763,38.708285,398.077934
n2,150,220,2,4,32,0,0,0,25265.476018,192.670999,24827.219967,0.452536,34.31239,210.820126
complex,150,220,2,2,16,0,0,0,10394.074477999999,200.740981,9903.81664,0.52933,46.322838,242.664689
simple,150,220,2,1,8,0,0,0,16525.409551,207.870766,15855.103345,0.42438,49.125425,412.885635
complex,150,220,2,1,8,0,0,0,36210.685690000006,194.858523,35696.371946,0.39676,48.168034,270.890427
n2,150,220,2,1,8,0,0,0,18853.088861000004,226.01198,18233.188749,0.47041,35.320317,358.097405
complex,150,220,1,1,4,0,0,0,97302.78794499999,202.257835,92505.923603,0.463746,34.760209,4559.382552
n2,150,220,2,2,16,0,0,0,10717.015397,196.734181,9271.748743,0.385474,42.518411,1205.628588
simple,150,220,2,2,16,0,0,0,10380.236748,196.557959,9896.06854,0.404132,34.974688,252.231429
complex,150,220,2,4,32,0,0,0,17573.304038,203.153973,17108.735552,0.59804,36.930946,223.885527
simple,150,220,1,1,4,0,0,0,17567.020136999996,206.298839,16521.839247,0.553835,42.060808,796.267408
simple,150,220,2,4,32,0,0,0,26220.696111000005,201.378055,25753.439676,0.653211,41.766015,223.459154
n2,150,220,1,1,4,0,0,0,15735.498717,199.892132,15183.997401,0.698088,57.573559,293.337537
n2,150,220,2,4,32,0,0,0,19646.954337,205.248567,19206.781027,0.467866,36.966518,197.490359
complex,150,220,2,2,16,0,0,0,9515.993477999999,204.450407,9041.7354,0.534828,57.55647,211.716373
simple,150,220,2,1,8,0,0,0,17911.691604,201.03357,15747.80989,0.499834,36.978136,1925.370174
complex,150,220,2,1,8,0,0,0,58354.445868,197.029683,57916.015835,0.392221,31.899898,209.108231
n2,150,220,2,1,8,0,0,0,17690.774929000003,198.564664,17001.072182,0.504685,75.292996,415.340402
complex,150,220,1,1,4,0,0,0,50929.237521,200.32424,50490.376414,0.493386,31.197358,206.846123
n2,150,220,2,2,16,0,0,0,20960.596164999995,197.398662,20506.170881,0.456795,59.117915,197.451912
simple,150,220,2,2,16,0,0,0,9617.347484999998,194.213896,9178.21851,0.404449,36.962241,207.548389
complex,150,220,2,4,32,0,0,0,17497.273602,222.382439,16552.495715,0.444783,34.546626,687.404039
simple,150,220,1,1,4,0,0,0,16439.539074,202.575002,15899.218883,0.561641,41.7214,295.462148
simple,150,220,2,4,32,0,0,0,23407.399531999996,190.42251,22952.837857,0.490808,39.15885,224.489507
n2,150,220,1,1,4,0,0,0,21593.62449,193.660698,21120.62765,0.460093,39.221792,239.654257
n2,150,220,2,4,32,0,0,0,34671.078849000005,202.954593,34229.077098,0.509655,44.034792,194.502711
complex,150,220,2,2,16,0,0,0,9442.035754,195.204757,8956.515764,0.42825,41.030272,248.856711
simple,150,220,2,1,8,0,0,0,19488.849596,202.574869,18050.994676,0.477018,32.680751,1202.122282
complex,150,220,2,1,8,0,0,0,74036.588865,200.512262,73601.683672,0.455821,38.870236,195.066874
n2,150,220,2,1,8,0,0,0,16518.472797,195.117392,15817.259864,0.426171,40.709447,464.959923
complex,150,220,1,1,4,0,0,0,20478.567933000002,197.214428,20070.756195,0.4529,31.520416,178.623994
n2,150,220,2,2,16,0,0,0,44925.99256500001,198.40181,44506.190447,0.502645,40.586442,180.311221
simple,150,220,2,2,16,0,0,0,15507.558468999998,200.007684,15057.710495,0.462478,37.282467,212.095345
complex,150,220,2,4,32,0,0,0,8213.704979999999,194.959233,7769.639213,0.429149,34.004008,214.673377
simple,150,220,1,1,4,0,0,0,17050.922352,196.707442,15706.862489,0.501062,36.407966,1110.443393
simple,150,220,2,4,32,0,0,0,22369.851475,192.809025,21937.969734,0.522247,33.433998,205.116471
n2,150,220,1,1,4,0,0,0,17426.955311,192.455535,17001.413432,0.509155,35.921382,196.655807
n2,150,220,2,4,32,0,0,0,24005.319106000006,201.005248,23573.927436,0.654482,36.253195,193.478745
complex,150,220,2,2,16,0,0,0,9826.100836,191.019466,9390.562157,0.379603,36.078394,208.061216
simple,150,220,2,1,8,0,0,0,18190.318738,200.941169,17529.271215,0.55731,46.318488,413.230556
complex,150,220,2,1,8,0,0,0,55410.111861,199.110859,54968.320475,0.464406,36.263014,205.953107
n2,150,220,2,1,8,0,0,0,17524.225402000004,202.338037,17020.995704,0.527245,40.035675,260.328741
complex,150,220,1,1,4,0,0,0,97494.769655,202.553292,82268.048817,0.523466,35.391559,14988.252521
n2,150,220,2,2,16,0,0,0,9814.247419000001,198.751867,9377.58878,0.411499,34.548096,202.947177
simple,150,220,2,2,16,0,0,0,13080.163008,198.750563,12688.007968,0.448127,34.675573,158.280777
complex,150,220,2,4,32,0,0,0,13168.567189,207.88398,12723.703026,0.581355,39.117197,197.281631
simple,150,220,1,1,4,0,0,0,17266.206960000003,196.060067,16088.20354,0.43663,33.482996,948.023727
simple,150,220,2,4,32,0,0,0,34171.400157000004,194.528802,33722.118281,0.563661,42.765253,211.42416
n2,150,220,1,1,4,0,0,0,17550.643977999996,196.990356,17060.957164,0.427055,35.835668,256.433735
n2,150,220,2,4,32,0,0,0,28744.377084999996,196.737047,28285.918394,0.683836,61.692438,199.34537
complex,150,220,2,2,16,0,0,0,9953.747909999998,195.575087,9164.474139,0.3946,39.635494,553.66859
simple,150,220,2,1,8,0,0,0,18110.277554,197.653184,16718.913604,0.504371,38.529696,1154.676699
complex,150,220,2,1,8,0,0,0,59215.60202599999,195.731809,58781.130734,0.488137,32.406605,205.844741
n2,150,220,2,1,8,0,0,0,17728.555355,210.956948,14791.75452,0.636684,62.950709,2662.256494
complex,150,220,1,1,4,0,0,0,94274.312265,202.356464,69262.483917,0.550839,33.20478,24775.716265
n2,150,220,2,2,16,0,0,0,13876.710388,194.95979,13431.423846,0.48613,34.156488,215.684134
simple,150,220,2,2,16,0,0,0,10360.038770000001,196.904678,9975.470806,0.427212,36.921859,150.314215
complex,150,220,2,4,32,0,0,0,15795.333089,196.894536,15357.32203,0.412151,34.50183,206.202542
simple,150,220,1,1,4,0,0,0,26691.109930999995,196.570368,26216.460418,0.597819,39.818352,237.662974
simple,150,220,2,4,32,0,0,0,34393.17583400001,199.300643,33986.129284,0.490112,33.836258,173.419537
n2,150,220,1,1,4,0,0,0,20577.209918000004,204.552984,19216.357367,0.469131,35.435098,1120.395338
n2,150,220,2,4,32,0,0,0,33666.093915,199.836926,33207.287021,0.405488,33.326683,225.237797
complex,150,220,2,2,16,0,0,0,9200.779434,192.681123,8711.553644,0.443111,37.049861,259.051695
simple,150,220,2,1,8,0,0,0,27678.691891000002,193.228744,27263.247692,0.435633,32.877816,188.902006
complex,150,220,2,1,8,0,0,0,57708.913281,198.712309,56613.240499,0.394144,52.858136,843.708193
n2,150,220,2,1,8,0,0,0,25688.781016,199.100821,24559.680223,0.474285,30.057999,899.467688
complex,150,220,1,1,4,0,0,0,56116.798397000006,193.304107,55719.025326,0.40953,34.008212,170.051222
n2,150,220,2,2,16,0,0,0,20323.141945999996,195.31284,19860.689759,0.446297,35.78834,230.90471
simple,150,220,2,2,16,0,0,0,9442.475958000003,191.633105,9003.11428,0.418428,36.030188,211.279957
complex,150,220,2,4,32,0,0,0,18886.341580000004,204.843228,18494.397474,0.435102,32.554765,154.111011
simple,150,220,1,1,4,0,0,0,16695.937065,197.669089,16111.044885,0.511916,46.62817,340.083005
simple,150,220,2,4,32,0,0,0,30317.199927,194.298521,29907.81408,0.450911,32.698265,181.93815
n2,150,220,1,1,4,0,0,0,16348.086958,206.458322,15065.180377,0.505046,61.901434,1014.041779
n2,150,220,2,4,32,0,0,0,29444.177755,197.820043,28990.022909,0.490257,38.172572,217.671974
complex,150,220,2,2,16,0,0,0,22549.150743,193.910128,22115.6384,0.394478,32.529555,206.678182
simple,150,220,2,1,8,0,0,0,16940.552249999997,201.251813,16322.472942,0.53232,38.281205,378.01397
complex,150,220,2,1,8,0,0,0,34262.620976,195.056842,33831.095772,0.451141,34.476667,201.540554
n2,150,220,2,1,8,0,0,0,35187.037992,196.863912,34759.039021,0.369717,31.360548,199.404794
complex,150,220,1,1,4,0,0,0,41828.128907,198.33536,41436.642423,0.395589,33.197609,159.557926
n2,150,220,2,2,16,0,0,0,12723.517912999998,195.077452,12247.523044,0.377859,35.35587,245.183688
simple,150,220,2,2,16,0,0,0,11537.036805,202.255914,11080.143372,0.437329,37.405112,216.795078
complex,150,220,2,4,32,0,0,0,20014.596302,194.646825,19562.277652,0.398291,33.235744,224.03779
simple,150,220,1,1,4,0,0,0,16999.076595,195.314785,16443.859936,0.507977,41.675193,317.718704
simple,150,220,2,4,32,0,0,0,32695.365438,194.744573,32275.024997,0.429645,35.62338,189.542843
n2,150,220,1,1,4,0,0,0,16169.820926999999,195.19466,15405.624382,0.480296,34.259504,534.262085
n2,150,220,2,4,32,0,0,0,33363.907719,204.902081,32481.053686,0.430522,36.199218,641.322212
complex,150,220,2,2,16,0,0,0,15478.510017999999,194.267082,15040.450766,0.434124,48.243378,195.114668
simple,150,220,2,1,8,0,0,0,19576.625749000003,196.886253,19144.397892,0.389832,31.497649,203.454123
complex,150,220,2,1,8,0,0,0,96200.19850099999,198.603823,92023.259721,0.507696,33.355836,3944.471425
n2,150,220,2,1,8,0,0,0,17253.941318999998,197.599047,16777.351225,0.438903,35.047113,243.505031
complex,150,220,1,1,4,0,0,0,57539.67637699999,199.69462,57136.202728,0.397837,30.532939,172.848253
n2,150,220,2,2,16,0,0,0,11257.743485,200.834528,10802.589394,0.635178,41.671098,212.013287
simple,150,220,2,2,16,0,0,0,13199.280963000001,195.539672,12773.412355,0.571687,52.914915,176.842334
complex,150,220,2,4,32,0,0,0,13509.691335,198.033012,13052.061818,0.473894,35.225326,223.897285
simple,150,220,1,1,4,0,0,0,15988.717375000002,206.601436,15357.611991,0.53353,41.199338,382.77108
simple,150,220,2,4,32,0,0,0,24228.739999,198.368629,23800.574809,0.431553,34.615706,194.749302
n2,150,220,1,1,4,0,0,0,16805.972941,192.746033,16274.882409,0.459074,35.040682,302.844743
n2,150,220,2,4,32,0,0,0,28719.358041999996,197.088953,28251.575406,0.411775,33.411016,236.870892
complex,150,220,2,2,16,0,0,0,9462.996042,197.907739,8961.906316,0.628671,52.451825,250.101491
simple,150,220,2,1,8,0,0,0,18295.733617,215.501683,16986.389801,0.451064,35.165162,1058.225907
complex,150,220,2,1,8,0,0,0,65619.875804,194.890244,65156.716125,0.407693,35.594888,232.266854
n2,150,220,2,1,8,0,0,0,17507.695792000002,194.607944,16949.581354,0.428881,33.806408,329.271205
complex,150,220,1,1,4,0,0,0,61141.326379,200.62956,60732.801817,0.458667,30.478351,176.957984
n2,150,220,2,2,16,0,0,0,11605.608324,196.930528,11131.69004,0.407314,43.013048,233.567394
simple,150,220,2,2,16,0,0,0,22350.457641999998,199.139868,21529.86909,0.422704,34.733736,586.292244
complex,150,220,2,4,32,0,0,0,13168.719419000001,196.331105,12745.819572,0.444689,41.684396,184.439657
simple,150,220,1,1,4,0,0,0,16473.372139,201.829849,15957.331354,0.445283,35.84178,277.923873
simple,150,220,2,4,32,0,0,0,25615.553989,199.353502,25207.434014,0.470466,36.108739,172.187268
n2,150,220,1,1,4,0,0,0,20998.856106,194.246629,20635.287618,0.415125,29.561949,139.344785
n2,150,220,2,4,32,0,0,0,42353.365337999996,201.976397,41922.834971,0.709277,39.729019,188.115674
complex,150,220,2,2,16,0,0,0,10749.733762999998,193.3535,9908.031851,0.411014,35.493053,612.444345
simple,150,220,2,1,8,0,0,0,18046.282267,192.554931,17171.752322,0.552918,39.657602,641.764494
