element,link,executor,core,partition,sleeping_guard,sleeping_instantiate,sleeping_apply,total_time,time_tuples,time_instantiate,time_extract,time_broadcast,time_apply
300,440,2,4,32,1000,1000,1000,455807.95414399996,190.546809,324908.533826,0.449238,52.75097,130655.673301
300,440,4,4,64,500,500,500,126331.55840000001,188.788533,92782.322028,0.631982,64.703079,33295.112778
300,440,2,4,32,250,250,250,117607.70581,171.381986,84283.603851,0.466911,51.98626,33100.266802
300,440,4,4,64,2000,2000,2000,488124.91810199997,174.974713,356956.53186,0.38508,47.262447,130945.764002
300,440,2,4,32,2000,2000,2000,894267.7511410001,171.515232,643374.559667,0.45192,48.320361,250672.903961
300,440,4,4,64,250,250,250,66343.995701,174.161278,48552.035813,0.538131,50.730741,17566.529738
300,440,8,4,128,250,250,250,39165.980690000004,171.349231,29179.276916,0.506085,50.082246,9764.766212
300,440,8,4,128,2000,2000,2000,271668.617037,167.459708,200393.375503,0.506586,50.211846,71057.063394
300,440,8,4,128,500,500,500,73036.616443,169.776051,54226.073778,0.517412,50.087015,18590.162187
300,440,8,4,128,1000,1000,1000,139044.717469,170.64171,102803.650225,0.509593,51.616627,36018.299314
300,440,2,4,32,500,500,500,227621.920725,171.621996,164263.195374,0.515712,54.508955,63132.078688
300,440,4,4,64,1000,1000,1000,247077.855063,172.548695,180991.853189,0.502372,50.796865,65862.153942
300,440,2,4,32,1000,1000,1000,449684.315941,171.830057,323806.507158,0.546744,53.000399,125652.431583
300,440,4,4,64,500,500,500,126752.29978599999,166.56734,93127.705619,0.482196,51.134698,33406.409933
300,440,2,4,32,250,250,250,117330.082778,168.784577,85108.321922,0.499721,54.046164,31998.430394
300,440,4,4,64,2000,2000,2000,488197.28175699996,171.619311,356947.63604,0.474175,51.232922,131026.319309
300,440,2,4,32,2000,2000,2000,893656.886399,171.794615,642671.528064,0.471652,50.009395,250763.082673
300,440,4,4,64,250,250,250,66566.869678,170.739556,49049.018821,0.461549,49.529488,17297.120264
300,440,8,4,128,250,250,250,39341.771788,168.362846,29266.516611,0.523031,51.297201,9855.072099
300,440,8,4,128,2000,2000,2000,272568.623765,176.654993,201390.073842,0.499068,48.014464,70953.381398
300,440,8,4,128,500,500,500,72610.589934,169.812525,53572.649441,0.414125,53.079353,18814.63449
300,440,8,4,128,1000,1000,1000,138593.348769,170.381045,102262.78505,0.519115,50.363769,36109.29979
300,440,2,4,32,500,500,500,230242.07833499997,176.377953,164444.282355,0.447085,51.815328,65569.155614
300,440,4,4,64,1000,1000,1000,246555.632723,178.405763,180334.155385,0.547881,52.035187,65990.488507
300,440,2,4,32,1000,1000,1000,450252.588188,171.189473,324265.557888,0.436724,51.422682,125763.981421
300,440,4,4,64,500,500,500,125939.78016299999,171.365867,92261.056937,0.461734,49.403729,33457.491896
300,440,2,4,32,250,250,250,116748.658206,172.834027,84528.699394,0.529189,51.450908,31995.144688
300,440,4,4,64,2000,2000,2000,489825.379753,176.595447,358661.657558,0.396992,46.90991,130939.819846
300,440,2,4,32,2000,2000,2000,894417.448869,165.489797,643452.849366,0.402462,50.437911,250748.269333
300,440,4,4,64,250,250,250,65825.927826,169.809642,48406.122925,0.485843,53.479049,17196.030367
300,440,8,4,128,250,250,250,39124.191594,168.006516,29106.289152,0.481429,48.963778,9800.450719
300,440,8,4,128,2000,2000,2000,272206.834712,166.829479,201051.90167,0.510334,51.332179,70936.26105
300,440,8,4,128,500,500,500,72333.463536,170.172269,53684.603652,0.501839,51.655821,18426.529955
300,440,8,4,128,1000,1000,1000,139189.760198,168.976262,102846.331882,0.562352,49.391587,36124.498115
300,440,2,4,32,500,500,500,230248.921298,168.986292,164316.276552,0.487689,53.110221,65710.060544
300,440,4,4,64,1000,1000,1000,247285.242834,169.314406,181141.268065,0.50703,50.712825,65923.440508
300,440,2,4,32,1000,1000,1000,449535.209586,169.481917,323595.371441,0.451623,52.879774,125717.024831
300,440,4,4,64,500,500,500,126395.99861899999,168.206901,92743.726922,0.440704,47.504902,33436.11919
300,440,2,4,32,250,250,250,117874.457453,168.387676,84561.698211,0.44566,52.378272,33091.547634
300,440,4,4,64,2000,2000,2000,487972.56351,172.685411,356909.57337,0.518433,46.64199,130843.144306
300,440,2,4,32,2000,2000,2000,893731.4718680002,171.527141,642746.141303,0.395586,46.042508,250767.36533
300,440,4,4,64,250,250,250,66343.83811699999,167.434057,48887.49679,0.472965,53.072302,17235.362003
300,440,8,4,128,250,250,250,39083.703892000005,179.479238,29043.460168,0.516769,50.460056,9809.787661
